script_id,imdb_id,title,year,gross (inflation-adjusted),link
3120,tt0119925,The Postman,1997,33,"http://www.imsdb.com/Movie Scripts/Postman, The Script.html"
1241,tt0105159,The Power of One,1992,5,"film_20100519/all_imsdb_05_19_10/Power-of-One,-The.html"
4815,tt0482571,The Prestige,2006,70,http://www.dailyscript.com/scripts/Prestige.pdf
1246,tt0093779,The Princess Bride,1987,68,"film_20100519/all_imsdb_05_19_10/Princess-Bride,-The.html"
3140,tt0066249,The Private Life of Sherlock Holmes,1970,,"http://www.imsdb.com/Movie Scripts/Private Life of Sherlock Holmes, The Script.html"
3141,tt0395251,The Producers,2005,26,"http://www.imsdb.com/Movie Scripts/Producer, The Script.html"
3142,tt0107889,The Program,1993,48,"http://www.imsdb.com/Movie Scripts/Program, The Script.html"
6925,tt0803057,The Promotion,2008,0,The Promotion-Aka-Quebec.pdf
1252,tt0114194,The Prophecy,1995,32,"film_20100519/all_imsdb_05_19_10/Prophecy,-The.html"
1250,tt1041829,The Proposal,2009,190,"film_20100519/all_imsdb_05_19_10/Proposal,-The.html"
6674,tt0330793,The Punisher,2004,47,"Punisher, The [02-25-03].pdf"
1258,tt0436697,The Queen,2006,74,"film_20100519/all_imsdb_05_19_10/Queen,-The.html"
3178,tt0976051,The Reader,2008,41,"http://www.imsdb.com/Movie Scripts/Reader, The Script.html"
8405,tt0292506,The Recruit,2003,76,The Recruit (aka The Farm).pdf
8000,tt0110955,The Ref,1994,23,"Ref, The (1993.02.04).pdf"
3192,tt0120004,The Relic,1997,64,"http://www.imsdb.com/Movie Scripts/Relic, The Script.html"
1274,tt0191397,The Replacements,2000,72,"film_20100519/all_imsdb_05_19_10/Replacements,-The.html"
3201,tt0100477,The Rescuers Down Under,1990,57,"http://www.imsdb.com/Movie Scripts/Rescuers Down Under, The Script.html"
8257,tt1663202,The Revenant,2015,147,"REVENANT, THE (2015) 2007.04.24 draft by Mark L. Smith.pdf"
4874,tt0298130,The Ring,2002,193,http://www.horrorlair.com/movies/the_ring.html
9098,tt0267891,The Ringer,2005,48,http://indiegroundfilms.files.wordpress.com/2014/01/ringer-the-nov-2-00.pdf
7361,tt2717860,The Riot Club,2014,,POSH - Laura Wade.pdf
4879,tt0066302,The Rise and Rise of Michael Rimmer,1970,,"http://www.pages.drexel.edu/~ina22/splaylib/Screenplay-Rise_and_Rise_of_Michael_Rimmer,_The.pdf"
3218,tt0898367,The Road,2009,,"http://www.imsdb.com/Movie Scripts/Road, The Script.html"
1282,tt0117500,The Rock,1996,263,"film_20100519/all_imsdb_05_19_10/Rock,-The.html"
6727,tt0102803,The Rocketeer,1991,96,"Rocketeer, The (1990.03.02).pdf"
1281,tt0073629,The Rocky Horror Picture Show,1975,594,"film_20100519/all_imsdb_05_19_10/Rocky-Horror-Picture-Show,-The.html"
3237,tt1265990,The Roommate,2011,40,"http://www.imsdb.com/Movie Scripts/Roommate, The Script.html"
7742,tt2345737,The Rover,2014,1,The Rover by David Michod.pdf
6816,tt0265666,The Royal Tenenbaums,2001,80,RoyalTenenbaums (7.27.00).pdf
3240,tt0963794,The Ruins,2008,21,"http://www.imsdb.com/Movie Scripts/Ruins, The Script.html"
4899,tt0292644,The Rules of Attraction,2002,9,http://www.dailyscript.com/scripts/The_Rules_Of_Attraction.pdf
9104,tt1017451,The Runaways,2010,3,http://indiegroundfilms.files.wordpress.com/2014/01/runaways-the-jul-25-08.pdf
4902,tt1097649,The Russell Girl,2008,,http://www.pages.drexel.edu/~ina22/splaylib/Screenplay-Russell_Girl.pdf
1294,tt0120053,The Saint,1997,116,"film_20100519/all_imsdb_05_19_10/Saint,-The.html"
1296,tt0235737,The Salton Sea,2002,1,"film_20100519/all_imsdb_05_19_10/Salton-Sea,-The.html"
3262,tt0108037,The Sandlot,1993,68,"http://www.imsdb.com/Movie Scripts/Sandlot Kids, The Script.html"
3289,tt0049730,The Searchers,1956,,"http://www.imsdb.com/Movie Scripts/Searchers, The Script.html"
4925,tt0359950,The Secret Life of Walter Mitty,2013,62,"http://www.dailyscript.com/scripts/Secret_Life_of_Walter_MItty,The.pdf"
3298,tt1866249,The Sessions,2012,6,"http://www.imsdb.com/Movie Scripts/Sessions, The Script.html"
6454,tt0075194,The Seven-Per-Cent Solution,1976,,"Seven Per-Cent Solution, The.pdf"
1309,tt0050976,The Seventh Seal,1957,,"film_20100519/all_imsdb_05_19_10/Seventh-Seal,-The.html"
4940,tt0036341,The Seventh Victim,1943,,http://www.dailyscript.com/scripts/SeventhVictim.htm
3317,tt0111161,The Shawshank Redemption,1994,58,http://www.dailyscript.com/scripts/shawshank.html
3325,tt0081505,The Shining,1980,,"http://www.imsdb.com/Movie Scripts/Shining, The Script.html"
3327,tt0120824,The Shipping News,2001,17,"http://www.imsdb.com/Movie Scripts/Shipping News, The Script.html"
3336,tt0133952,The Siege,1998,75,"http://www.imsdb.com/Movie Scripts/Siege, The Script.html"
1330,tt0102926,The Silence of the Lambs,1991,270,film_20100519/all_imsdb_05_19_10/Silence-of-the-Lambs.html
